Jour	Foret	Essence	SommeBois
j01	LacMartin	SPF	0.000
j02	LacMartin	SPF	3055.677
j03	LacMartin	SPF	3578.000
j04	LacMartin	SPF	3055.677
j05	LacMartin	SPF	2466.935
j06	LacMartin	SPF	2466.935
j07	LacMartin	SPF	2303.677
j08	LacMartin	SPF	2466.935
j09	LacMartin	SPF	0.000
j10	LacMartin	SPF	2466.935
j11	LacMartin	SPF	0.000
j12	LacMartin	SPF	2362.484
j13	LacMartin	SPF	0.000
j14	LacMartin	SPF	0.000
j15	LacMartin	SPF	1034.935
j16	LacMartin	SPF	0.000
j17	LacMartin	SPF	2303.677
j18	LacMartin	SPF	2466.935
j19	LacMartin	SPF	1037.323
j20	LacMartin	SPF	2466.935
j21	LacMartin	SPF	2466.935
j22	LacMartin	SPF	0.000
j23	LacMartin	SPF	0.000
j24	LacMartin	SPF	0.000
j25	LacMartin	SPF	0.000
j26	LacMartin	SPF	0.000
j27	LacMartin	SPF	0.000
j28	LacMartin	SPF	0.000
j29	LacMartin	SPF	0.000
j30	LacMartin	SPF	0.000
j31	LacMartin	SPF	0.000
j32	LacMartin	SPF	0.000
j33	LacMartin	SPF	0.000
j34	LacMartin	SPF	0.000
j35	LacMartin	SPF	0.000
j36	LacMartin	SPF	0.000
j37	LacMartin	SPF	0.000
j38	LacMartin	SPF	0.000
j39	LacMartin	SPF	0.000
j40	LacMartin	SPF	0.000
j41	LacMartin	SPF	0.000
j42	LacMartin	SPF	0.000
j43	LacMartin	SPF	0.000
j44	LacMartin	SPF	0.000
j45	LacMartin	SPF	0.000
j46	LacMartin	SPF	0.000
j47	LacMartin	SPF	0.000
j48	LacMartin	SPF	0.000
j49	LacMartin	SPF	0.000
j50	LacMartin	SPF	0.000
j51	LacMartin	SPF	0.000
j52	LacMartin	SPF	0.000
j53	LacMartin	SPF	0.000
j54	LacMartin	SPF	0.000
j55	LacMartin	SPF	0.000
j56	LacMartin	SPF	0.000
j57	LacMartin	SPF	0.000
j58	LacMartin	SPF	0.000
j59	LacMartin	SPF	0.000
j60	LacMartin	SPF	0.000
j61	LacMartin	SPF	0.000
j62	LacMartin	SPF	0.000
j63	LacMartin	SPF	0.000
j64	LacMartin	SPF	0.000
j65	LacMartin	SPF	0.000
j66	LacMartin	SPF	0.000
j67	LacMartin	SPF	0.000
j68	LacMartin	SPF	0.000
j69	LacMartin	SPF	0.000
j70	LacMartin	SPF	0.000
j71	LacMartin	SPF	0.000
j72	LacMartin	SPF	0.000
j73	LacMartin	SPF	0.000
j74	LacMartin	SPF	0.000
j75	LacMartin	SPF	0.000
j76	LacMartin	SPF	0.000
j77	LacMartin	SPF	0.000
j78	LacMartin	SPF	0.000
j79	LacMartin	SPF	0.000
j80	LacMartin	SPF	0.000
j81	LacMartin	SPF	0.000
j82	LacMartin	SPF	0.000
j83	LacMartin	SPF	0.000
j01	LacMartin	Fir	0.000
j02	LacMartin	Fir	786.938
j03	LacMartin	Fir	0.000
j04	LacMartin	Fir	0.000
j05	LacMartin	Fir	0.000
j06	LacMartin	Fir	0.000
j07	LacMartin	Fir	0.000
j08	LacMartin	Fir	0.000
j09	LacMartin	Fir	0.000
j10	LacMartin	Fir	0.000
j11	LacMartin	Fir	0.000
j12	LacMartin	Fir	0.000
j13	LacMartin	Fir	0.000
j14	LacMartin	Fir	0.000
j15	LacMartin	Fir	0.000
j16	LacMartin	Fir	0.000
j17	LacMartin	Fir	617.085
j18	LacMartin	Fir	0.000
j19	LacMartin	Fir	1267.978
j20	LacMartin	Fir	0.000
j21	LacMartin	Fir	1328.000
j22	LacMartin	Fir	0.000
j23	LacMartin	Fir	0.000
j24	LacMartin	Fir	0.000
j25	LacMartin	Fir	0.000
j26	LacMartin	Fir	0.000
j27	LacMartin	Fir	0.000
j28	LacMartin	Fir	0.000
j29	LacMartin	Fir	0.000
j30	LacMartin	Fir	0.000
j31	LacMartin	Fir	0.000
j32	LacMartin	Fir	0.000
j33	LacMartin	Fir	0.000
j34	LacMartin	Fir	0.000
j35	LacMartin	Fir	0.000
j36	LacMartin	Fir	0.000
j37	LacMartin	Fir	0.000
j38	LacMartin	Fir	0.000
j39	LacMartin	Fir	0.000
j40	LacMartin	Fir	0.000
j41	LacMartin	Fir	0.000
j42	LacMartin	Fir	0.000
j43	LacMartin	Fir	0.000
j44	LacMartin	Fir	0.000
j45	LacMartin	Fir	0.000
j46	LacMartin	Fir	0.000
j47	LacMartin	Fir	0.000
j48	LacMartin	Fir	0.000
j49	LacMartin	Fir	0.000
j50	LacMartin	Fir	0.000
j51	LacMartin	Fir	0.000
j52	LacMartin	Fir	0.000
j53	LacMartin	Fir	0.000
j54	LacMartin	Fir	0.000
j55	LacMartin	Fir	0.000
j56	LacMartin	Fir	0.000
j57	LacMartin	Fir	0.000
j58	LacMartin	Fir	0.000
j59	LacMartin	Fir	0.000
