Jour,Foret,Essence,Scierie,A
j01,LacMartin,SPF,Senneterre,0
j01,LacMartin,SPF,LebelsurQuevillon,0
j01,LacMartin,Fir,Senneterre,0
j01,LacMartin,Fir,LebelsurQuevillon,0
j01,LacDesCaches,SPF,Senneterre,0
j01,LacDesCaches,SPF,LebelsurQuevillon,0
j01,LacDesCaches,Fir,Senneterre,0
j01,LacDesCaches,Fir,LebelsurQuevillon,0
j01,LacHolmes,SPF,Senneterre,0
j01,LacHolmes,SPF,LebelsurQuevillon,0
j01,LacHolmes,Fir,Senneterre,0
j01,LacHolmes,Fir,LebelsurQuevillon,0
j02,LacMartin,SPF,Senneterre,0
j02,LacMartin,SPF,LebelsurQuevillon,0
j02,LacMartin,Fir,Senneterre,0
j02,LacMartin,Fir,LebelsurQuevillon,0
j02,LacDesCaches,SPF,Senneterre,0
j02,LacDesCaches,SPF,LebelsurQuevillon,0
j02,LacDesCaches,Fir,Senneterre,0
j02,LacDesCaches,Fir,LebelsurQuevillon,0
j02,LacHolmes,SPF,Senneterre,0
j02,LacHolmes,SPF,LebelsurQuevillon,0
j02,LacHolmes,Fir,Senneterre,0
j02,LacHolmes,Fir,LebelsurQuevillon,0
j03,LacMartin,SPF,Senneterre,0
j03,LacMartin,SPF,LebelsurQuevillon,0
j03,LacMartin,Fir,Senneterre,0
j03,LacMartin,Fir,LebelsurQuevillon,0
j03,LacDesCaches,SPF,Senneterre,0
j03,LacDesCaches,SPF,LebelsurQuevillon,0
j03,LacDesCaches,Fir,Senneterre,0
j03,LacDesCaches,Fir,LebelsurQuevillon,0
j03,LacHolmes,SPF,Senneterre,0
j03,LacHolmes,SPF,LebelsurQuevillon,0
j03,LacHolmes,Fir,Senneterre,0
j03,LacHolmes,Fir,LebelsurQuevillon,0
j04,LacMartin,SPF,Senneterre,0
j04,LacMartin,SPF,LebelsurQuevillon,0
j04,LacMartin,Fir,Senneterre,0
j04,LacMartin,Fir,LebelsurQuevillon,0
j04,LacDesCaches,SPF,Senneterre,11016.04
j04,LacDesCaches,SPF,LebelsurQuevillon,0
j04,LacDesCaches,Fir,Senneterre,0
j04,LacDesCaches,Fir,LebelsurQuevillon,0
j04,LacHolmes,SPF,Senneterre,0
j04,LacHolmes,SPF,LebelsurQuevillon,0
j04,LacHolmes,Fir,Senneterre,0
j04,LacHolmes,Fir,LebelsurQuevillon,0
